Numero Atomico,Neutrones Reales,Neutrones Predichos
1,0,0.822178
2,2,1.800568
3,4,2.848106
4,5,3.943238
5,6,5.075179
6,6,6.237344
7,7,7.425261
8,8,8.635679
9,10,9.866120
10,10,11.114626
11,12,12.379612
12,12,13.659764
13,14,14.953975
14,14,16.261299
15,16,17.580917
16,16,18.912111
17,17,20.254250
18,22,21.606771
19,20,22.969171
20,20,24.340995
21,24,25.721834
22,26,27.111311
23,28,28.509084
24,28,29.914840
25,30,31.328288
26,30,32.749159
27,32,34.177205
28,31,35.612195
29,35,37.053911
30,35,38.502153
31,39,39.956730
32,41,41.417464
33,42,42.884188
34,45,44.356744
35,45,45.834982
36,48,47.318761
37,48,48.807947
38,50,50.302412
39,50,51.802037
40,51,53.306704
41,52,54.816305
42,54,56.330735
43,55,57.849894
44,57,59.373686
45,58,60.902019
46,60,62.434806
47,61,63.971962
48,64,65.513407
49,66,67.059062
50,69,68.608853
51,71,70.162707
52,76,71.720557
53,74,73.282333
54,77,74.847973
55,78,76.417414
56,81,77.990596
57,82,79.567460
58,82,81.147950
59,82,82.732013
60,84,84.319595
61,84,85.910645
62,88,87.505114
63,89,89.102953
64,93,90.704117
65,94,92.308560
66,97,93.916239
67,98,95.527109
68,99,97.141131
69,100,98.758264
70,103,100.378468
71,104,102.001706
72,106,103.627939
73,108,105.257133
74,110,106.889252
75,111,108.524261
76,114,110.162126
77,115,111.802816
78,117,113.446298
79,118,115.092542
80,121,116.741516
81,123,118.393190
82,125,120.047537
83,126,121.704528
84,125,123.364134
85,125,125.026330
86,136,126.691088
87,136,128.358382
88,138,130.028187
89,138,131.700479
90,142,133.375232
91,148,135.052424
92,146,136.732031
93,144,138.414029
94,150,140.098398
95,148,141.785114
96,151,143.474156
97,150,145.165504
98,153,146.859136
99,153,148.555033
100,157,150.253173
